Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,normalized_n_syn_senses,example_en_lemma,example_en_gloss,ili
it,0.6697743232908857,4,0.005668304128270556,0,0,guitar,2,1,2,8.0,0.2,1.91e-05,2.0,0.42857142857139796,0.2,0.03225806451612695,0.018937781829815967,0.02739726027397223,0.0,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
es,0.9745296125886971,4,0.6972340826856716,0,1,"lodge, inn, hostel",1,5,8,7.666666666666667,0.5656666666666667,3.6666666666666666e-06,2.0,0.4722222222221829,0.5656666666666667,0.076923076923071,0.002599413745921881,0.027027027027026296,0.99999999999975,0.4999999999999643,lodge,a hotel providing overnight lodging for travelers,i54942
en,0.8637987617905134,4,0.266716587750456,0,0,"lodge, inn, hostel",4,5,11,4.666666666666667,0.523,8.796666666666667e-06,3.0,0.16666666666665003,0.523,0.2857142857142449,0.011998550086922431,0.0199999999999999,0.36363636363633056,0.47619047619045357,lodge,a hotel providing overnight lodging for travelers,i54942
it,0.6473669703331063,3,0.0023680486419553086,0,0,"lodge, inn, hostel",1,1,2,7.0,0.202,3.31e-06,2.0,0.3571428571428316,0.202,0.03225806451612695,0.002385829261854375,0.013698630136986115,0.0,0.0,lodge,a hotel providing overnight lodging for travelers,i54942
nb,0.610403741947605,2,0.0,0,0,"lodge, inn, hostel",0,1,1,3.0,0.446,2.14e-06,1.0,0.0,0.446,0.0,0.0030096431379635687,0.0,0.0,0.0,lodge,a hotel providing overnight lodging for travelers,i54942
nb,0.8487822601791305,4,0.2352936786456927,0,1,"boiler, kettle",0,1,1,5.0,0.472,2.19e-06,1.0,0.24999999999996875,0.472,0.0,0.003081903477410474,0.0,0.0,0.0,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
en,0.8003907114933967,4,0.14368691439013292,0,0,"boiler, kettle",1,2,6,6.0,0.46699999999999997,4.2999999999999995e-06,3.0,0.29999999999997,0.46699999999999997,0.2857142857142449,0.002019484694038114,0.004999999999999975,0.09090909090908264,0.23809523809522679,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
it,0.7596342049487648,4,0.04688212956322978,0,0,"boiler, kettle",0,2,6,8.0,0.47050000000000003,2.389e-06,3.0,0.42857142857139796,0.47050000000000003,0.09677419354838085,0.0014203860500055703,0.0,0.09090909090908264,0.06249999999999903,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
es,0.7595874428573873,4,0.00021403032336049534,0,0,"boiler, kettle",0,1,1,7.0,0.73,4.57e-06,1.0,0.41666666666663194,0.73,0.0,0.0037523452109707025,0.0,0.0,0.0,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
nb,0.9286722156581685,4,0.3670400061174145,0,1,"knight, horse",0,2,3,6.0,0.6145,1.4874999999999999e-05,1.5,0.37499999999995315,0.6145,0.055555555555549384,0.02141435159509012,0.0,0.33333333333322224,0.16666666666665278,knight,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
